Book Title,Author,Category,Price (TK),Stock Status,Copies Left,Book Length (Pages),Edition,Publication,Wished Users,Discount Offer,Ratings ,Reviews
Sapiens A Brief History Of Humankind,Yuval Noah Harari,History and Tradition,"1,258",In Stock,4,498,1st Published,Vintage Books (India),386,Yes,39,16
The Intelligent Investor,Benjamin Graham," Business, Investment and Economics","1,598",In Stock,6,640,8th Impression,Harpercollins Publishers (India),531,Yes,30,25
Madinah Arabic Reader 1,Dr. V. Abdur Rahim,Islamic Books,528,In Stock,21,80,1st Edition 2011,Goodword Books (India),N/A,Yes,6,3
The Quran,M.A.S. Abdel Haleem (Translator),Islamic Books,950,In Stock,38,512,Reissue Edition,"Oxford University Press, USA",N/A,Yes,19,5
"Let Us C, 19th Edition",Yashavant Kanetkar,Computer Science & Engineering,718,In Stock,18,492,19th Edition,BPB Publications (India),N/A,Yes,3,1
400 Days,Chetan Bhagat, Novel,450,In Stock,50+,344,Published,Westland (India),N/A,Yes,9,2
War And Peace,"Leo Tolstoy, Richard Pevear (Translator), Larissa Volokhonsky (Translator)", Novel,"1,618",In Stock,11,1276,1st Edition,Vintage Classics (India),108,Yes,9,2
Ecotourism,"Harish Bhat , B.S. Badan",Tourism and Hospitality ,965,Out stock,0,345,Commonwealth Pub.,,,No,0,0
Managing Tourism and Hospitality Services,"Gianna Moscardo (Editor), Bruce Prideaux (Editor), Eric Laws (Editor)",Tourism and Hospitality ,"17,487",In Stock,3,338,Edition,Cabi Publishing (India),N/A,Yes,1,0
Tata Stories,Harish Bhat,Foreign Language Books,"1,078",In Stock,5,202,1st Edition,Portfolio Penguin (India),N/A,Yes,2,0
Elon Musk,Walter Isaacson,"Biographies, Memories & Interviews","2,698",In Stock,2,688,12-Sep-23,Simon & Schuster Ltd (India),N/A,Yes,2,0
How Harsh Mariwala ?Groomed? Marico,"R. Gopalakrishnan , M. Suresh Rao","Business, Investment and Economics",711,In Stock,2,146,1st Edition,Rupa Publications India,N/A,Yes,1,0
TataLog Eight Modern Stories from a Timeless Institution,Harish Bhat,"Business, Investment and Economics",898,In Stock,5,224,Edition,Penguin Business (India),N/A,Yes,3,0
Good Economics for Hard Times,"Abhijit V. Banerjee , Esther Duflo","Business, Investment and Economics",998,In Stock,8,402,Edition,Juggernaut (India),N/A,Yes,5,4
The Wealth of Nations : Fingerprint,Adam Smith,"Business, Investment and Economics","1,498",In Stock,5,1144,1st Published,Fingerprint Publishing (India),N/A,Yes,0,0
Train to Pakistan,Khushwant Singh,Novel,450,In Stock,4,190,1st Edition,Penguin Books (India),N/A,Yes,11,2
One Hundred Years of Solitude,Gabriel Garcia Marquez,Novel,798,In Stock,7,422,5th Edition,Penguin Books (India),374,Yes,23,5
A Thousand Splendid Suns,Khaled Hosseini,Novel,"1,198",In Stock,8,419,1st Edition,Bloomsbury Publishing (India),277,Yes,27,13
Ikigai,"Hector Garcia, Francesc Miralles",Self-help and meditation,"1,100",In Stock,32,208,1st Edition,Random House UK,N/A,Yes,10,4
"Zero to One: Notes on Start Ups, or How to Build the Future","Peter Thiel, Blake Masters",Self-help and meditation,"1,198",In Stock,13,210,Edition,Virgin Books (India),308,Yes,13,6
Atomic Habits,James Clear,Self-help and meditation,"1,598",In Stock,9,288,1st Published,Random House Business Books (India),412,Yes,19,4
Mein Kampf,Adolf Hitler,International Political Personality,798,In Stock,17,560,Published,Fingerprint Publishing (India),N/A,Yes,17,5
The Post American World And The Rise Of The Rest,Fareed Zakaria,International Politics,"2,343",In Stock,1,292,1st Edition,Penguin Books (India),N/A,Yes,10,2
The Old Man and The Sea,Ernest Hemingway,Novel,150,In Stock,0,104,2nd Edition,Friend's Book Corner,453,Yes,73,54
Metamorphosis,"Franz Kafka, David Wyllie (Translator)",Novel,258,In Stock,20,100,Published,Fingerprint Publishing (India),N/A,Yes,29,8
Animal Farm,George Orwell,Novel,258,In Stock,33,95,1st Edition,Fingerprint Publishing (India),384,Yes,44,17
The Girl in Room 105,Chetan Bhagat,Novel,450,In Stock,5,308,Published,Harpercollins Publishers (India),252,Yes,36,17
The Alchemist,Paulo Coelho,Novel,798,In Stock,44,172,1st Edition,Harpercollins Publishers (India),"1,470",Yes,,
The Startup Wife,Tahmima Anam,Novel,"1,078",In Stock,1,304,Published,Penguin Books (India),N/A,Yes,4,0
My Devotion,"Julia Kerninon, Alison Anderson",Novel,"1,530",In Stock,1,272,27th August 2020,Europa Editions,N/A,Yes,,
How to Win Friends and Influence People,Dale Carnegie,Self-help and meditation,350,In Stock,27,240,1st Edition,Maanu Graphics Publishers (India),967,Yes,85,29
The Power Of Positive Thinking,Dr. Norman Vincent Peale,Self-help and meditation,398,In Stock,4,320,Edition,Vermilion London (India),528,Yes,26,9
Who Moved My Cheese?,Spencer Johnson,Self-help and meditation,405,In Stock,40,96,Published,Vermilion London (India),860,Yes,55,25
Think and Grow Rich,Napoleon Hill,Self-help and meditation,450,In Stock,50+,332,1st Published,Amazing Reads (India),648,Yes,50,26
The Power of Your Subconscious Mind,Dr. Joseph Murphy,Self-help and meditation,500,In Stock,0,312,Edition,Amazing Reads (India),692,No,35,17
How To Talk To Anyone,Leil Lowndes,Self-help and meditation,798,In Stock,37,352,1st,Harper Element (India),388,Yes,5,3
How To Instantly Connect With Anyone,Leil Lowndes,Self-help and meditation,855,In Stock,0,336,1st Edition,McGraw-Hill (India),N/A,No,0,0
Winning,"Jack Welch, Suzy Welch",Self-help and meditation,900,In Stock,2,372,16th Impression,Harpercollins Publishers (India),N/A,Yes,27,13
The Art of War,Sun Tzu,War Tactics and Foreign Policy,178,In Stock,11,100,1st Edition,Fingerprint Publishing (India),425,Yes,1,0
Harry Potter and the Philosophers Stone (1997),J. K. Rowling," Mystery, Detective, Thriller and Adventure","1,100",In Stock,5,352,New Edition,Bloomsbury Publishing (India),266,Yes,40,22
